,rental_id,rent,Unit Price ($/ft2),Discount Rate (γ),Balanced Price,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,NEW NEIGHBOR,borough,
3165,7673,6873,5.583,0.9466046632,5.898202127,2,2,1231,2,20,16,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3181,6350,6950,5.460,0.9466046632,5.7675021,2,2,1273,1,9,31,0,1,0,1,1,0,0,0,Flatiron,Downtown,Manhattan,
3182,7632,4362,7.081,0.7749206845,9.137927239,1,1,616,2,26,16,1,1,1,1,0,1,1,1,Flatiron,Downtown,Manhattan,
3209,5348,4260,6.416,0.7749206845,8.279121694,1,1,664,2,11,13,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3212,2410,3850,5.878,0.7749206845,7.585115113,1,1,655,1,8,12,0,1,1,1,1,1,0,1,Flatiron,Downtown,Manhattan,
3214,4011,4990,7.159,0.7749206845,9.238692538,1,1,697,2,26,13,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3218,2889,10000,6.203,0.9660789048,6.421291174,3,2,1612,3,31,11,0,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3258,5517,4330,6.521,0.7749206845,8.4151636,1,1,664,2,18,13,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3261,1752,6250,6.404,0.9466046632,6.764902787,2,2,976,1,9,31,0,0,1,1,1,1,0,1,Flatiron,Downtown,Manhattan,
3305,9746,7509,6.771,0.9466046632,7.152896131,2,2,1109,2,39,16,1,0,1,0,0,1,0,0,Flatiron,Downtown,Manhattan,
3327,1760,3800,4.750,0.7749206845,6.129659583,1,1,800,2,3,89,0,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3412,11323,4381,7.646,0.7749206845,9.866460415,1,1,573,2,31,16,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3421,68,3300,5.280,0.7749206845,6.813600547,1,1,625,4,3,76,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3499,7324,9750,6.423,0.9466046632,6.785224234,2,2,1518,4,14,10,0,0,0,1,0,0,0,1,Flatiron,Downtown,Manhattan,
3500,6419,6755,6.064,0.9466046632,6.405772681,2,2,1114,2,23,13,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3514,5494,3775,7.816,0.7819792921,9.994810692,0.5,1,483,3,8,11,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
3531,2404,9000,5.000,0.7819792921,6.394031211,0.5,1,1800,3,10,113,1,0,0,0,0,0,0,0,Flatiron,Downtown,Manhattan,
22,11328,1950,4.875,0.7819792921,6.234180431,0.5,1,400,6,3,56,0,1,1,0,0,1,0,0,Gramercy Park,Downtown,Manhattan,
34,133,9800,7.717,0.9466046632,8.151803739,2,2,1270,7,7,6,0,1,1,1,1,0,0,0,Gramercy Park,Downtown,Manhattan,
49,8976,3900,5.200,0.7749206845,6.710364175,1,1,750,6,6,106,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
160,7665,3490,4.363,0.9466046632,4.608576494,2,2,800,6,4,106,0,0,0,1,0,0,0,0,Gramercy Park,Downtown,Manhattan,
186,4111,4995,5.139,0.7749206845,6.631503058,1,1,972,7,10,6,0,0,1,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
228,2466,6450,6.293,0.9466046632,6.647635672,2,2,1025,6,3,2,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
257,1102,4200,6.087,0.7749206845,7.854941342,1,1,690,7,6,6,0,0,1,1,0,0,0,0,Gramercy Park,Downtown,Manhattan,
270,532,2200,8.000,0.7819792921,10.23044994,0.5,1,275,1,3,116,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
274,4184,7900,7.707,0.9466046632,8.142065397,2,2,1025,6,5,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
275,866,3600,5.556,0.7749206845,7.169192495,1,1,648,4,4,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
281,3343,5300,4.645,1,4.645048203,1,2,1141,6,5,113,0,0,0,1,0,0,0,0,Gramercy Park,Downtown,Manhattan,
308,5685,4500,5.056,1,5.056179775,1,2,890,9,3,106,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
329,4115,3650,7.060,0.7819792921,9.0283226,0.5,1,517,6,2,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
458,6538,4615,5.955,0.7749206845,7.684449297,1,1,775,9,7,86,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
463,6083,2099,6.997,0.7819792921,8.947381008,0.5,1,300,1,3,116,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
529,9078,3195,3.759,0.8618439948,4.361373465,2,1,850,3,4,106,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
583,6592,4195,5.993,0.7749206845,7.733510361,1,1,700,7,8,6,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
609,8259,2050,4.556,0.7749206845,5.878737846,1,1,450,6,1,106,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
662,2405,4216,5.667,0.7749206845,7.312576345,1,1,744,7,5,6,0,0,0,0,0,0,1,0,Gramercy Park,Downtown,Manhattan,
734,6975,4500,6.139,0.7749206845,7.922300029,1,1,733,6,11,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
760,4769,4995,6.890,0.7749206845,8.890787548,1,1,725,4,10,24,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
776,5900,4600,6.416,0.7749206845,8.279067484,1,1,717,6,8,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
805,10943,4846,6.020,0.8618439948,6.984878717,2,1,805,9,14,86,1,0,1,1,1,0,0,0,Gramercy Park,Downtown,Manhattan,
833,6520,2295,9.180,0.7819792921,11.7394413,0.5,1,250,2,1,118,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
881,5772,3850,5.704,0.7749206845,7.360370961,1,1,675,5,3,61,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1036,4338,3995,6.636,0.7749206845,8.563731434,1,1,602,6,2,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1118,6711,3800,5.292,0.7749206845,6.829704271,1,1,718,10,16,9,0,1,0,1,1,0,0,1,Gramercy Park,Downtown,Manhattan,
1295,10977,2495,3.838,0.7819792921,4.908648576,0.5,1,650,2,3,106,0,0,0,0,1,0,0,0,Gramercy Park,Downtown,Manhattan,
1301,4805,7500,7.317,0.9466046632,7.729808921,2,2,1025,6,4,2,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1350,8204,10500,8.663,0.9466046632,9.152042741,2,2,1212,6,20,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1435,775,3800,5.429,0.7749206845,7.005325238,1,1,700,5,6,96,0,0,1,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1512,10580,2450,4.900,0.7749206845,6.323227781,1,1,500,5,1,96,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1546,4408,9500,5.758,0.9466046632,6.082344596,2,2,1650,3,2,65,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1641,10865,19950,8.666,0.9906875344,8.747841032,4,3,2302,6,20,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1673,1915,2450,5.444,0.7819792921,6.962389541,0.5,1,450,2,8,104,0,1,1,1,1,0,0,1,Gramercy Park,Downtown,Manhattan,
1921,1215,3600,4.675,0.7749206845,6.033294463,1,1,770,10,9,9,0,0,0,1,1,0,0,0,Gramercy Park,Downtown,Manhattan,
1973,752,3295,4.918,0.7819792921,6.289054579,0.5,1,670,6,3,113,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
1988,9276,3800,7.238,0.7819792921,9.256121372,0.5,1,525,4,17,24,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2036,9148,5000,6.098,0.7749206845,7.868625909,1,1,820,9,7,86,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2044,2924,3850,4.813,0.7749206845,6.210312999,1,1,800,9,16,86,0,0,1,0,0,1,1,0,Gramercy Park,Downtown,Manhattan,
2206,3615,3700,5.256,0.7749206845,6.782219036,1,1,704,10,4,9,0,0,0,0,0,1,0,0,Gramercy Park,Downtown,Manhattan,
2224,5022,3800,4.471,0.8618439948,5.187236046,2,1,850,6,2,56,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2235,6937,3900,5.571,0.7749206845,7.189675902,1,1,700,2,10,57,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2253,5283,3400,4.250,0.8618439948,4.931286899,2,1,800,2,1,106,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2442,7041,4500,5.784,0.7749206845,7.464069307,1,1,778,6,4,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2459,11239,4000,4.494,1,4.494382022,1,2,890,9,3,106,0,0,0,1,1,0,0,0,Gramercy Park,Downtown,Manhattan,
2519,840,3795,6.325,0.7749206845,8.162125655,1,1,600,4,3,116,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2523,4768,7895,7.177,0.9466046632,7.582122724,2,2,1100,4,23,24,1,0,0,1,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2566,8249,4850,6.929,0.7749206845,8.941007212,1,1,700,4,20,24,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2615,10411,5200,7.429,0.7749206845,9.586234536,1,1,700,4,28,24,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2624,1002,4795,6.850,0.7749206845,8.839614346,1,1,700,4,23,24,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2710,11249,3250,6.500,0.7819792921,8.312240575,0.5,1,500,10,4,48,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
2833,2910,3800,5.429,0.7749206845,7.005325238,1,1,700,10,9,9,1,0,1,0,0,1,0,0,Gramercy Park,Downtown,Manhattan,
3013,1116,4000,5.970,0.7749206845,7.70420686,1,1,670,1,9,28,0,1,1,1,1,0,0,1,Gramercy Park,Downtown,Manhattan,
3121,9247,4450,4.917,0.9333084504,5.268490894,3,1,905,4,4,115,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
3200,10218,8500,6.173,0.9466046632,6.521032218,2,2,1377,6,17,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
3253,9079,3428,5.761,0.7749206845,7.434753844,1,1,595,9,6,86,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
3290,1839,4299,4.648,0.8618439948,5.39258566,2,1,925,2,11,57,0,1,1,1,1,1,0,1,Gramercy Park,Downtown,Manhattan,
3312,7406,7285,5.396,0.9466046632,5.700686365,2,2,1350,9,5,86,1,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
3376,2328,9500,7.564,0.9466046632,7.990341228,2,2,1256,6,9,2,0,0,0,0,0,0,0,0,Gramercy Park,Downtown,Manhattan,
3427,10417,17250,7.841,0.985779237,7.954021343,3,3,2200,5,2,107,0,0,0,1,1,0,1,0,Gramercy Park,Downtown,Manhattan,
1,2472,11500,5.750,0.9466046632,6.074341511,2,2,2000,4,1,96,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
3,2790,4795,4.918,0.7749206845,6.346389787,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Greenwich Village,Downtown,Manhattan,
101,10706,3750,5.357,0.7749206845,6.913149906,1,1,700,3,5,90,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
241,6371,6000,6.501,0.7749206845,8.388654274,1,1,923,1,34,51,0,0,1,1,0,0,0,0,Greenwich Village,Downtown,Manhattan,
318,1224,5350,5.944,0.7749206845,7.67103597,1,1,900,1,15,51,0,0,0,0,1,0,0,0,Greenwich Village,Downtown,Manhattan,
354,595,15000,5.357,1,5.357142857,2,3,2800,6,4,109,0,0,1,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
366,5876,5600,6.474,0.7749206845,8.35438848,1,1,865,2,9,85,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
423,5106,2995,5.990,0.7819792921,7.660049391,0.5,1,500,2,3,50,0,0,0,0,0,0,1,0,Greenwich Village,Downtown,Manhattan,
431,657,11000,5.236,0.9466046632,5.53092785,2,2,2101,1,3,110,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
476,1024,4600,6.133,0.7749206845,7.914788514,1,1,750,6,3,106,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
526,11268,5500,4.583,0.7819792921,5.861195277,0.5,1,1200,4,9,109,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
541,2208,6700,6.700,0.8618439948,7.774028758,2,1,1000,1,29,51,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
585,1117,3800,4.222,0.7749206845,5.448586296,1,1,900,2,3,52,0,1,1,1,1,1,0,1,Greenwich Village,Downtown,Manhattan,
610,8871,3000,6.667,0.7819792921,8.525374948,0.5,1,450,2,11,87,0,0,0,0,0,1,0,0,Greenwich Village,Downtown,Manhattan,
677,4336,4750,4.862,0.8618439948,5.641185566,2,1,977,6,3,106,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
715,1762,16000,8.889,0.9466046632,9.390286393,2,2,1800,2,2,116,0,0,0,0,1,0,0,0,Greenwich Village,Downtown,Manhattan,
799,5980,3000,6.000,0.7819792921,7.672837453,0.5,1,500,3,3,116,0,1,0,1,1,1,0,0,Greenwich Village,Downtown,Manhattan,
866,2349,3100,5.636,0.7819792921,7.207817002,0.5,1,550,2,9,55,1,0,0,0,0,1,0,0,Greenwich Village,Downtown,Manhattan,
935,6517,7000,5.185,0.8618439948,6.016384887,2,1,1350,3,6,108,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
952,6254,3300,6.600,0.7819792921,8.440121199,0.5,1,500,3,2,86,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
968,1537,12000,5.920,0.9466046632,6.254014125,2,2,2027,1,3,156,0,0,0,1,1,1,0,1,Greenwich Village,Downtown,Manhattan,
1083,7028,3750,7.500,0.7749206845,9.678409868,1,1,500,4,4,156,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1089,9717,3350,5.726,0.7819792921,7.323078481,0.5,1,585,2,6,85,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1108,4706,4200,6.720,0.7819792921,8.593577948,0.5,1,625,2,4,106,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1120,8416,3550,7.100,0.7819792921,9.07952432,0.5,1,500,1,4,30,1,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1127,10676,2900,5.472,0.7819792921,6.997241703,0.5,1,530,2,11,52,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1204,9446,7500,5.357,1,5.357142857,1,2,1400,1,2,96,0,0,0,1,1,0,0,0,Greenwich Village,Downtown,Manhattan,
1235,1657,3500,6.604,0.7749206845,8.521870324,1,1,530,2,5,55,0,1,1,1,1,1,0,1,Greenwich Village,Downtown,Manhattan,
1287,3501,2995,5.990,0.7819792921,7.660049391,0.5,1,500,2,3,53,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1418,11140,3600,5.538,0.7749206845,7.147133441,1,1,650,2,5,55,0,1,0,1,1,0,0,0,Greenwich Village,Downtown,Manhattan,
1447,5260,5995,6.661,0.8618439948,7.728905871,2,1,900,2,16,55,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1521,543,6500,3.824,0.8618439948,4.436451881,2,1,1700,4,5,116,0,1,1,1,1,1,1,1,Greenwich Village,Downtown,Manhattan,
1569,907,2695,4.146,0.7819792921,5.30212742,0.5,1,650,1,6,116,0,1,1,1,1,1,1,1,Greenwich Village,Downtown,Manhattan,
1575,3695,5400,5.838,0.7749206845,7.533464978,1,1,925,2,2,30,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1713,5391,3650,5.615,0.7749206845,7.246399183,1,1,650,2,13,53,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
1833,2416,8500,4.048,0.9466046632,4.275933983,2,2,2100,1,6,104,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2060,1214,4995,6.129,0.7749206845,7.908982788,1,1,815,3,7,8,0,0,0,1,1,0,0,0,Greenwich Village,Downtown,Manhattan,
2168,5082,2750,6.875,0.7819792921,8.791792915,0.5,1,400,6,4,106,0,1,1,1,1,1,0,1,Greenwich Village,Downtown,Manhattan,
2218,1294,4300,8.269,0.7749206845,10.67106729,1,1,520,2,4,106,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2260,6583,5200,6.118,0.7749206845,7.894546089,1,1,850,1,29,51,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2297,9123,6500,5.417,0.8618439948,6.284973498,2,1,1200,4,3,93,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2303,6590,8000,4.124,0.9466046632,4.35631843,2,2,1940,1,9,104,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2326,9714,2995,6.822,0.7819792921,8.72442983,0.5,1,439,6,2,106,0,0,0,1,1,0,0,1,Greenwich Village,Downtown,Manhattan,
2387,11309,3495,8.738,0.7819792921,11.17356954,0.5,1,400,4,1,81,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2411,4478,3450,5.520,0.7819792921,7.059010457,0.5,1,625,1,9,51,0,1,0,1,1,0,0,0,Greenwich Village,Downtown,Manhattan,
2507,8039,5650,6.647,0.7749206845,8.577727962,1,1,850,2,6,85,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2555,6582,2849,6.534,0.7819792921,8.356236202,0.5,1,436,6,3,106,0,0,0,1,1,1,0,1,Greenwich Village,Downtown,Manhattan,
2556,4132,6830,7.189,0.7749206845,9.27768974,1,1,950,1,8,116,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2600,9124,3450,7.667,0.7819792921,9.80418119,0.5,1,450,3,3,116,0,1,0,1,1,1,0,0,Greenwich Village,Downtown,Manhattan,
2721,211,12995,7.772,0.9466046632,8.210533382,2,2,1672,4,16,7,1,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2748,160,4500,9.000,0.7819792921,11.50925618,0.5,1,500,6,1,116,0,1,1,0,0,1,0,0,Greenwich Village,Downtown,Manhattan,
2796,4705,9200,6.133,0.9466046632,6.479297611,2,2,1500,2,4,106,0,0,1,0,0,1,0,0,Greenwich Village,Downtown,Manhattan,
2908,3431,2550,4.636,0.7749206845,5.983017009,1,1,550,2,3,96,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2936,7509,2495,4.990,0.7819792921,6.381243149,0.5,1,500,2,1,56,0,0,0,1,1,0,0,0,Greenwich Village,Downtown,Manhattan,
2983,11261,2850,4.750,0.7819792921,6.074329651,0.5,1,600,2,5,56,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
2996,440,5000,5.814,0.7749206845,7.502643309,1,1,860,1,5,51,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
3039,9000,7250,9.565,0.7749206845,12.34273906,1,1,758,3,4,3,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
3061,11285,14995,7.347,0.9466046632,7.761306346,2,2,2041,2,2,116,0,0,0,0,1,0,0,0,Greenwich Village,Downtown,Manhattan,
3104,10751,2750,6.595,0.7819792921,8.433374499,0.5,1,417,6,3,106,0,1,1,1,1,1,0,1,Greenwich Village,Downtown,Manhattan,
3225,4906,2100,5.147,0.7819792921,6.582090953,0.5,1,408,3,6,106,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
3301,8633,4595,6.127,0.7749206845,7.906185483,1,1,750,3,5,96,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
3395,6213,4800,5.333,0.8618439948,6.188281598,2,1,900,2,4,106,0,0,0,1,1,0,0,1,Greenwich Village,Downtown,Manhattan,
3428,10711,2800,5.091,0.7749206845,6.569587304,1,1,550,1,4,116,1,1,0,1,0,0,0,1,Greenwich Village,Downtown,Manhattan,
3483,6542,4000,4.444,0.7749206845,5.735353996,1,1,900,2,4,106,0,0,0,0,0,0,0,0,Greenwich Village,Downtown,Manhattan,
3490,2742,7950,7.227,1,7.227272727,1,2,1100,1,4,116,0,0,0,1,1,1,0,1,Greenwich Village,Downtown,Manhattan,
3511,3975,2995,6.469,0.7819792921,8.272191567,0.5,1,463,6,4,106,0,0,0,0,0,0,1,0,Greenwich Village,Downtown,Manhattan,
120,7800,2150,3.130,0.7749206845,4.03854075,1,1,687,4,2,96,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
252,6174,2250,3.000,0.8618439948,3.480908399,2,1,750,7,4,102,1,0,0,0,0,1,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
313,4016,2150,3.214,0.7749206845,4.14720104,1,1,669,6,2,4,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
327,5596,2200,4.000,0.7749206845,5.161818596,1,1,550,2,2,108,0,0,0,0,0,1,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
726,153,5250,2.917,0.985779237,2.958742239,3,3,1800,6,7,104,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
918,3820,1500,3.333,0.7819792921,4.262687474,0.5,1,450,2,3,106,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
1189,10527,1999,4.442,0.7819792921,5.680741507,0.5,1,450,4,4,96,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
1243,6193,2150,3.071,0.8618439948,3.56378717,2,1,700,7,2,102,1,0,0,1,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
1333,10148,1600,1.882,0.7749206845,2.429091104,1,1,850,2,4,105,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
1580,10051,1700,3.400,0.7749206845,4.387545807,1,1,500,2,4,76,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
1611,882,2000,3.350,0.7749206845,4.323131153,1,1,597,5,1,96,1,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
1648,712,2800,2.778,0.8618439948,3.223063332,2,1,1008,5,2,96,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
1941,9183,2300,2.706,0.8618439948,3.13964287,2,1,850,7,5,86,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
2732,11263,3195,1.879,0.9333084504,2.013709148,3,1,1700,7,2,96,1,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
3231,411,1450,3.222,0.7819792921,4.120597892,0.5,1,450,3,1,90,0,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
3262,9842,1850,3.558,0.8618439948,4.128000345,2,1,520,4,2,96,1,0,0,0,0,0,0,0,Hamilton Heights,Upper Manhattan,Manhattan,
48,8005,1875,2.083,0.8618439948,2.417297499,2,1,900,3,4,91,0,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
276,3240,1950,2.167,0.8618439948,2.513989399,2,1,900,3,5,91,0,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
383,10298,1795,2.244,0.7749206845,2.895457619,1,1,800,3,4,79,0,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
868,2223,3700,2.960,0.9660789048,3.063931926,3,2,1250,3,3,96,0,1,0,1,1,0,1,0,Inwood,Upper Manhattan,Manhattan,
1230,9684,1795,2.244,0.7749206845,2.895457619,1,1,800,3,4,79,0,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
1250,1869,1995,2.418,0.7749206845,3.12055397,1,1,825,3,5,91,0,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
1253,5181,3095,2.814,0.9466046632,2.972345767,2,2,1100,4,5,3,1,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
1509,8055,1795,2.393,0.7749206845,3.088488127,1,1,750,2,5,67,0,0,1,1,1,1,0,1,Inwood,Upper Manhattan,Manhattan,
1759,9841,1525,3.675,0.7749206845,4.742032144,1,1,415,2,2,96,1,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
1844,6533,1850,2.846,0.7749206845,3.672832463,1,1,650,3,1,89,0,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
2676,9232,1895,3.790,0.7819792921,4.846675658,0.5,1,500,4,3,3,1,0,0,0,0,0,0,0,Inwood,Upper Manhattan,Manhattan,
3219,8907,3350,2.577,0.9660789048,2.667404354,3,2,1300,3,3,96,0,1,0,1,1,0,1,0,Inwood,Upper Manhattan,Manhattan,
452,10083,3350,4.188,0.7749206845,5.403778843,1,1,800,1,5,116,0,0,0,1,0,0,0,0,Little Italy,Downtown,Manhattan,
2112,6046,1695,6.780,0.7819792921,8.670306322,0.5,1,250,2,6,96,0,0,0,0,0,0,0,0,Little Italy,Downtown,Manhattan,
3536,9679,1699,6.796,0.7819792921,8.690767222,0.5,1,250,2,5,96,0,0,0,0,0,0,0,0,Little Italy,Downtown,Manhattan,
16,5832,2195,4.390,0.7749206845,5.665095909,1,1,500,3,3,106,1,0,0,0,0,0,0,0,Lower East Side,Downtown,Manhattan,
33,9536,3800,4.222,0.8618439948,4.899056265,2,1,900,4,6,116,0,0,0,0,0,0,0,0,Lower East Side,Downtown,Manhattan,
61,5402,6400,5.818,0.9660789048,6.022470617,3,2,1100,4,3,13,0,0,0,0,1,1,0,0,Lower East Side,Downtown,Manhattan,
118,6553,4270,6.778,0.7749206845,8.746414844,1,1,630,2,12,13,0,0,0,0,0,0,0,0,Lower East Side,Downtown,Manhattan,
321,9444,3800,3.455,0.9466046632,3.649406757,2,2,1100,5,10,12,0,0,0,1,0,0,0,0,Lower East Side,Downtown,Manhattan,
430,9698,2800,4.667,0.7749206845,6.022121696,1,1,600,5,5,96,0,0,0,0,0,0,0,0,Lower East Side,Downtown,Manhattan,
447,4877,4500,5.000,0.8618439948,5.801513998,2,1,900,3,2,116,1,1,1,1,1,0,0,0,Lower East Side,Downtown,Manhattan,
548,6635,6950,6.043,0.9466046632,6.384374064,2,2,1150,2,15,6,0,0,0,0,0,0,1,0,Lower East Side,Downtown,Manhattan,
554,9921,2950,3.602,0.7749206845,4.648157771,1,1,819,11,4,108,1,0,0,0,0,0,0,0,Lower East Side,Downtown,Manhattan,
712,5963,3500,3.696,0.7749206845,4.769367763,1,1,947,4,2,8,0,0,0,0,0,0,0,0,Lower East Side,Downtown,Manhattan,
861,10570,3595,5.136,0.8618439948,5.958983664,2,1,700,4,3,8,0,0,0,1,1,0,1,1,Lower East Side,Downtown,Manhattan,
